Concept,# Imgs,Type,Sort Method for Colabels,Rule w/ Max F1,Simplified Rule,F1 SCORE,PRECISION,RECALL,True Pos (tp),All Pos (tp+fp),All Targets (tp+fn),Implicit True Negative (tn),Implicit False Negative (fn),Implicit Unlabeled,Implicit Accuracy (tn/(tn+fn))
surfer,1437,obj,F1,(ocean & wetsuit) | (surfboard & wave) | (surfboard & wetsuit),(wetsuit & ocean) | (wetsuit & surfboard) | (surfboard & wave),0.6454,0.5217,0.8462,1216,2331,1437,102538,24,5515,0.9997659952
pillow,3122,obj,F1,(bed) | (headboard) | (sofa),sofa | bed | headboard,0.6427,0.5175,0.8479,2647,5115,3122,102487,475,5115,0.9953866475
beach,3051,obj,F1,(flaxen & ocean) | (flaxen & sand) | (flaxen & shore) | (flaxen & wave) | (ocean & sand) | (ocean & shore) | (sand & shore) | (sand & wave),(flaxen | ocean | sand) & (flaxen | shore | sand) & (wave | flaxen | ocean | shore) & (wave | ocean | shore | sand),0.6393,0.7715,0.5457,1665,2158,3051,100157,358,7562,0.9964383425
skier,1621,obj,F1,(goggles & ski) | (goggles & skipole) | (ski & skipole) | (ski & slope) | (ski & snow) | (skipole & snow),(skipole | ski) & (ski | goggles | snow) & (skipole | goggles | snow | slope),0.638,0.5137,0.8415,1364,2655,1621,102057,47,5973,0.999539685
sky,25124,obj,F1,(blue & cloud) | (blue & tree) | (cloud & in) | (cloud & tree) | (cloud & white),(tree | cloud) & (blue | cloud) & (tree | white | in | blue),0.6372,0.685,0.5956,14963,21844,25124,8045,234,99798,0.9717357169
tenniscourt,1243,obj,F1,(tennisball) | (tennisplayer) | (tennisracket),tennisball | tennisracket | tennisplayer,0.6355,0.5183,0.8214,1021,1970,1243,105885,222,1970,0.9979077723
green,48378,attr,F1,(along & be) | (along & black) | (along & have) | (along & white) | (be & black) | (be & have) | (be & white) | (black & have) | (black & white) | (have & white),(white & have) | (white & along) | (white & black) | (white & be) | (have & along) | (have & black) | (have & be) | (along & black) | (along & be) | (black & be),0.6295,0.4693,0.956,46247,98543,48378,3185,336,104556,0.9045725646
computer,1861,obj,F1,(desk & keyboard) | (desk & laptop) | (desk & monitor) | (keyboard & laptop) | (keyboard & monitor) | (keyboard & mouse) | (laptop & monitor) | (laptop & mouse) | (monitor & mouse),(monitor | laptop | keyboard) & (desk | monitor | laptop | mouse) & (desk | monitor | keyboard | mouse) & (desk | laptop | keyboard | mouse),0.6289,0.5648,0.7093,1320,2337,1861,103458,141,4478,0.998638983
skateboard,2936,obj,F1,(ramp) | (skate) | (skateboarder) | (skater),skate | skater | ramp | skateboarder,0.6288,0.7137,0.562,1650,2312,2936,104479,1286,2312,0.9878409682
red,46251,attr,F1,(along & blue) | (along & white) | (be & black) | (be & blue) | (be & white) | (black & blue) | (black & white) | (blue & white),(white | blue | black) & (white | blue | be) & (white | along | black | be) & (along | blue | black | be),0.6234,0.4659,0.9415,43544,93458,46251,3440,196,104441,0.9460946095
mouse,1274,obj,F1,(desk & keyboard) | (keyboard & monitor) | (laptop & monitor),(monitor & laptop) | (monitor & keyboard) | (keyboard & desk),0.6228,0.5951,0.6531,832,1398,1274,103599,107,4371,0.9989682371
eye,11886,obj,F1,(ear & head) | (ear & leg) | (ear & mouth) | (ear & nose) | (head & mouth) | (head & nose) | (leg & nose) | (mouth & nose),(head | ear | nose) & (ear | nose | mouth) & (head | leg | ear | mouth) & (head | leg | nose | mouth),0.6224,0.5941,0.6535,7767,13073,11886,72049,1296,34732,0.9823300839
crust,1051,obj,F1,(burned & pizza) | (cheese & pizza) | (melted & pizza),pizza & (cheese | melted | burned),0.6212,0.5989,0.6451,678,1132,1051,104700,147,3230,0.998597957
elephant,2206,obj,F1,(baby & ivory) | (baby & trunk) | (baby & wrinkled) | (ear & ivory) | (ear & trunk) | (ivory & trunk) | (trunk & wrinkled),(wrinkled | trunk | ivory) & (trunk | ear | baby) & (trunk | baby | ivory) & (wrinkled | ear | baby | ivory),0.6208,0.6265,0.6151,1357,2166,2206,90277,363,17437,0.9959951456
ocean,2990,obj,F1,(beach & wave) | (surfboard & wave) | (surfer & water) | (surfer & wave),(wave | water) & (wave | surfer) & (surfboard | beach | surfer),0.6161,0.61,0.6224,1861,3051,2990,94104,109,13864,0.9988430471
zebra,1917,obj,F1,(band & crop) | (band & hoof) | (band & mane) | (crop & striped) | (hoof & striped) | (mane & striped),(striped | band) & (hoof | crop | mane),0.6156,0.865,0.4778,916,1059,1917,93250,352,14475,0.9962393966
ear,12205,obj,F1,(eye & head) | (eye & leg) | (eye & mouth) | (eye & nose) | (head & nose) | (leg & mouth) | (leg & nose) | (mouth & nose),(leg | eye | nose) & (eye | nose | mouth) & (head | leg | eye | mouth) & (head | leg | nose | mouth),0.6118,0.6057,0.618,7543,12454,12205,72049,1302,34726,0.9822497307
sand,3318,obj,F1,beach,beach,0.6089,0.6355,0.5844,1939,3051,3318,103647,1379,3051,0.9868699179
pizza,2171,obj,F1,(cheese) | (crust) | (pepperoni),cheese | pepperoni | crust,0.6048,0.5823,0.6292,1366,2346,2171,104926,805,2346,0.9923863389
brown,44973,attr,F1,(along & black) | (along & have) | (along & white) | (be & black) | (be & have) | (be & white) | (black & have) | (black & white) | (have & white),(white | have | black) & (white | have | along | be) & (white | along | black | be) & (have | along | black | be),0.6041,0.443,0.9496,42706,96408,44973,3273,248,104556,0.9295654644
feather,964,obj,F1,(beak) | (tailfeather),tailfeather | beak,0.6028,0.5281,0.7023,677,1282,964,106508,287,1282,0.9973126083
cheese,1893,obj,F1,(chopped & melted) | (chopped & pizza) | (crust & melted) | (crust & pizza) | (melted & pizza) | (melted & sauce) | (pizza & sauce),(pizza | melted) & (sauce | pizza | chopped | crust) & (sauce | chopped | crust | melted),0.6001,0.7108,0.5193,983,1383,1893,103157,337,4583,0.9967437726
stove,1332,obj,F1,(burner & cabinet) | (burner & kitchen) | (burner & knob) | (burner & oven) | (cabinet & oven) | (kitchen & knob) | (kitchen & oven) | (knob & oven),(oven | burner | knob) & (oven | burner | kitchen) & (oven | knob | kitchen | cabinet) & (burner | knob | kitchen | cabinet),0.5989,0.6497,0.5556,740,1139,1332,102765,149,5163,0.9985521892
tennis,1530,attr,F1,(court & racket) | (court & tenniscourt) | (court & tennisplayer) | (racket & tenniscourt) | (racket & tennisplayer) | (racket & tennisracket),(court | racket) & (tennisplayer | tenniscourt | racket) & (tennisplayer | court | tenniscourt | tennisracket),0.5979,0.5068,0.7288,1115,2200,1530,104607,200,3270,0.9980917305
laptop,2356,obj,F1,(computer) | (keyboard) | (mouse),keyboard | computer | mouse,0.5977,0.5385,0.6715,1582,2938,2356,104365,774,2938,0.9926383169
tree,28605,obj,F1,(along & grass) | (along & leaf) | (grass & green) | (grass & leaf) | (grass & sky) | (green & leaf) | (green & sky) | (leaf & sky),(leaf | grass | sky) & (leaf | grass | green) & (leaf | along | sky | green) & (grass | along | sky | green),0.5934,0.5652,0.6245,17863,31604,28605,11921,913,95243,0.9288608384
cloud,10597,obj,F1,(blue & cloudy) | (in & sky),(blue & cloudy) | (sky & in),0.5891,0.466,0.8007,8485,18209,10597,24798,165,83114,0.9933902175
nose,10227,obj,F1,(ear & eye) | (ear & face) | (ear & mouth) | (eye & face) | (eye & mouth) | (head & mouth),(head & mouth) | (ear & eye) | (ear & face) | (ear & mouth) | (eye & face) | (eye & mouth),0.5859,0.5709,0.6016,6153,10778,10227,73760,1642,32675,0.9782233893
kitchen,1635,obj,F1,(cabinet & counter) | (cabinet & oven) | (cabinet & refrigerator) | (cabinet & stove) | (counter & oven) | (counter & refrigerator) | (counter & stove) | (oven & refrigerator) | (refrigerator & stove),(refrigerator | counter | cabinet) & (refrigerator | oven | counter | stove) & (refrigerator | oven | stove | cabinet) & (oven | counter | stove | cabinet),0.5825,0.5128,0.674,1102,2149,1635,101615,169,6293,0.9983396212
snowboarder,600,obj,F1,(slope & snowboard) | (snow & snowboard),snowboard & (slope | snow),0.5822,0.4493,0.8267,496,1104,600,102442,15,5620,0.9998535971
monitor,1257,obj,F1,(computer & desk) | (desk & keyboard) | (keyboard & mouse),(keyboard & desk) | (keyboard & mouse) | (computer & desk),0.5819,0.5187,0.6627,833,1606,1257,104077,171,3829,0.9983596808
skipole,1212,obj,F1,(ski & slope) | (ski & snow),ski & (slope | snow),0.5689,0.4243,0.863,1046,2465,1212,102300,14,5763,0.9998631663
teddy,1025,obj,F1,(bear & bow) | (bear & plaything) | (bear & ribbon) | (bear & stuffed) | (bow & stuffed) | (ribbon & stuffed),(bear | stuffed) & (ribbon | bear | bow) & (ribbon | plaything | stuffed | bow),0.5687,0.6798,0.4888,501,737,1025,103589,154,4334,0.9985155625
desk,2348,obj,F1,(computer & keyboard) | (computer & monitor) | (computer & mouse) | (keyboard & monitor) | (keyboard & mouse) | (laptop & monitor) | (laptop & mouse) | (monitor & mouse),(computer | monitor | mouse) & (monitor | keyboard | mouse) & (computer | monitor | laptop | keyboard) & (computer | laptop | keyboard | mouse),0.5677,0.6319,0.5153,1210,1915,2348,103458,703,3916,0.9932508328
refrigerator,1014,obj,F1,(deep-freeze) | (electricrefrigerator) | (magnet),magnet | electricrefrigerator | deep-freeze,0.5649,0.5858,0.5454,553,944,1014,106672,461,944,0.9956969375
hair's-breadth,1015,obj,F1,eye & cat,eye & cat,0.5635,0.4821,0.6778,688,1427,1015,94776,21,13280,0.999778474
snowboard,1250,obj,F1,snowboarder,snowboarder,0.5632,0.8683,0.4168,521,600,1250,106748,729,600,0.9932171534
baseball,1702,attr,F1,(bat) | (catcher) | (umpire),bat | umpire | catcher,0.5595,0.4975,0.6392,1088,2187,1702,105276,614,2187,0.9942015299
street,9530,obj,F1,(building & road) | (building & sidewalk) | (car & road) | (car & sidewalk) | (car & sign) | (road & sidewalk) | (road & sign) | (sidewalk & sign),(car | road | sidewalk) & (sign | road | sidewalk) & (car | sign | building | road) & (car | sign | building | sidewalk),0.557,0.4837,0.6566,6257,12935,9530,69935,572,37570,0.9918873303
peppershaker,134,obj,F1,saltshaker,saltshaker,0.5569,0.465,0.694,93,200,134,107836,41,200,0.9996199375
saltshaker,200,obj,F1,peppershaker,peppershaker,0.5569,0.694,0.465,93,134,200,107836,107,134,0.9990087361
homeplate,764,obj,F1,(ballplayer & batter) | (ballplayer & umpire) | (bat & catcher) | (batter & catcher) | (batter & umpire),(umpire & batter) | (umpire & ballplayer) | (catcher & batter) | (catcher & bat) | (batter & ballplayer),0.5561,0.453,0.7199,550,1214,764,105551,123,2403,0.9988360429
building,21153,obj,F1,(pole & sign) | (pole & street) | (pole & window) | (sign & street) | (sign & tree) | (sign & window) | (street & tree) | (street & window) | (tree & window),(sign | window | street) & (pole | tree | sign | window) & (pole | tree | sign | street) & (pole | tree | window | street),0.5557,0.5516,0.5599,11844,21474,21153,49473,2542,56062,0.9511294819
wearing,6803,rel,F1,(man & on) | (on & shirt) | (on & trouser),on & (man | trouser | shirt),0.5537,0.4579,0.7001,4763,10401,6803,48933,190,58954,0.9961321581
bird,2899,obj,F1,(beak) | (feather),feather | beak,0.5534,0.7942,0.4246,1231,1550,2899,104859,1668,1550,0.9843419978
stabilizer,166,obj,F1,(airport & horizontal) | (airport & vertical) | (cockpit & horizontal) | (cockpit & vertical) | (horizontal & landinggear) | (landinggear & vertical),(horizontal | vertical) & (airport | cockpit | landinggear),0.553,0.7449,0.4398,73,98,166,105453,23,2601,0.9997819409
soccer,277,attr,F1,(soccerball) | (soccerplayer),soccerball | soccerplayer,0.5521,0.5318,0.574,159,299,277,107660,118,299,0.9989051569
ivory,909,obj,F1,(babyelephant & wrinkled) | (elephant & skin) | (elephant & trunk),(wrinkled & babyelephant) | (trunk & elephant) | (elephant & skin),0.5519,0.4332,0.7602,691,1595,909,100766,104,7207,0.99896897
cake,1576,obj,F1,(cocoa) | (dessert) | (frost) | (frosting),frosting | frost | cocoa | dessert,0.5491,0.5413,0.5571,878,1622,1576,105757,698,1622,0.9934432389
soccerball,265,obj,F1,(soccer) | (soccerfield) | (soccerplayer),soccerplayer | soccerfield | soccer,0.5473,0.4954,0.6113,162,327,265,107647,103,327,0.9990440835
accountant,785,obj,F1,(gamecontroller) | (wii) | (wiiremote),wii | wiiremote | gamecontroller,0.5458,0.6236,0.4854,381,611,785,107062,404,611,0.9962406715
of,37123,rel,F1,(along & be) | (along & in) | (be & in),(along & be) | (along & in) | (be & in),0.5443,0.4049,0.8302,30821,76117,37123,5787,676,101614,0.8954046109
hour,120,attr,F1,(infinitesimal) | (minute),minute | infinitesimal,0.5429,0.6333,0.475,57,90,120,107924,63,90,0.9994165964
wetsuit,1162,obj,F1,(foam & surfboard) | (foam & surfer) | (surfboard & surfer) | (surfboard & wave),(surfer | surfboard) & (foam | surfboard) & (wave | surfer | foam),0.5429,0.4075,0.8133,945,2319,1162,103064,45,4968,0.9995635687
car,10900,obj,F1,(parked) | (road) | (street),road | parked | street,0.5415,0.4404,0.7028,7660,17393,10900,87444,3240,17393,0.9642715363
stuffed,968,attr,F1,(animal & doll) | (animal & plaything) | (animal & teddy) | (bear & doll) | (bear & plaything) | (bear & teddy) | (doll & plaything) | (plaything & teddy),(plaything | doll | teddy) & (plaything | bear | animal) & (doll | teddy | bear | animal),0.5408,0.5275,0.5548,537,1018,968,102216,128,5733,0.998749316
fireplace,497,obj,F1,(mantel) | (mantle),mantel | mantle,0.5347,0.7669,0.4105,204,266,497,107518,293,266,0.997282281
person,23279,obj,F1,(man) | (people) | (shirt) | (wear),man | people | wear | shirt,0.5347,0.3931,0.8358,19456,49498,23279,54756,3823,49498,0.9347377046
kite,1938,obj,F1,(beach & fly) | (colorful & fly) | (colorful & sand) | (colorful & string) | (fly & sand) | (fly & string) | (sand & string),(fly | string | sand) & (fly | string | colorful) & (fly | sand | colorful) & (string | beach | sand | colorful),0.5338,0.683,0.4381,849,1243,1938,96608,360,11109,0.996287435
window,23605,obj,F1,(along & building) | (be & building) | (be & light) | (building & light) | (building & white),(building | be) & (building | light) & (white | along | be | light),0.5283,0.4693,0.6043,14265,30398,23605,4198,109,103770,0.9746923613
table,14796,obj,F1,(chair) | (plate),chair | plate,0.5276,0.5179,0.5376,7955,15359,14796,85877,6841,15359,0.9262171315
player,3373,obj,F1,(ball & baseball) | (ball & catcher) | (ball & uniform) | (baseball & bat) | (baseball & catcher) | (baseball & uniform) | (bat & catcher) | (bat & uniform) | (catcher & uniform),(baseball | catcher | uniform) & (baseball | catcher | ball | bat) & (baseball | uniform | ball | bat) & (catcher | uniform | ball | bat),0.5257,0.6679,0.4334,1462,2189,3373,100857,897,6323,0.9911846217
head,20064,obj,F1,(ear) | (eye) | (leg),eye | leg | ear,0.5248,0.4686,0.5965,11968,25542,20064,74439,8096,25542,0.9019082813
plate,8402,obj,F1,(food) | (fork) | (napkin),food | napkin | fork,0.5243,0.5919,0.4705,3953,6678,8402,96950,4449,6678,0.9561238277
headboard,794,obj,F1,(bed & nightstand) | (bed & pillow),bed & (nightstand | pillow),0.5207,0.382,0.8174,649,1699,794,103745,13,4319,0.9998747085
electricrefrigerator,760,obj,F1,(deep-freeze) | (magnet) | (refrigerator),magnet | refrigerator | deep-freeze,0.5203,0.4337,0.65,494,1139,760,106672,266,1139,0.9975125774
grass,18096,obj,F1,(brown & field) | (field & green) | (field & land) | (field & tree) | (green & land) | (green & tree),(green | field) & (land | field | tree) & (green | land | tree | brown),0.5163,0.4162,0.6799,12303,29563,18096,25093,652,82332,0.9746746941
hotdog,435,obj,F1,(bun & catsup) | (bun & frankfurterbun) | (bun & gusto) | (bun & mustard) | (catsup & frankfurterbun) | (catsup & mustard) | (frankfurterbun & gusto) | (frankfurterbun & mustard) | (gusto & mustard),(bun | frankfurterbun | mustard) & (gusto | bun | catsup | frankfurterbun) & (gusto | bun | catsup | mustard) & (gusto | catsup | frankfurterbun | mustard),0.5115,0.5764,0.4598,200,347,435,106724,84,1269,0.9992135421
tennisplayer,909,obj,F1,(court & tenniscourt) | (court & tennisracket) | (racket & tenniscourt) | (racket & tennisracket) | (tennis & tenniscourt),(tenniscourt | tennisracket) & (tennis | court | racket) & (court | tenniscourt | racket),0.5111,0.4041,0.6953,632,1564,909,104607,20,3450,0.9998088448
hair,17593,obj,F1,(hand & man) | (hand & shirt) | (hand & wear) | (hand & woman) | (man & shirt) | (shirt & wear) | (shirt & woman) | (wear & woman),(woman | hand | shirt) & (hand | shirt | wear) & (woman | hand | man | wear) & (woman | shirt | man | wear),0.5104,0.3878,0.7464,13132,33866,17593,53013,1658,53406,0.9696731357
oven,1110,obj,F1,(burner & cabinet) | (burner & microwave) | (burner & stove) | (cabinet & microwave) | (cabinet & stove) | (kitchen & stove) | (microwave & stove),(stove | microwave | burner) & (stove | microwave | cabinet) & (stove | burner | cabinet) & (microwave | burner | kitchen | cabinet),0.5082,0.4649,0.5604,622,1338,1110,103648,199,4230,0.9980837193
sandwich,1208,obj,F1,(boodle & bread) | (boodle & bun) | (boodle & toasted) | (bread & bun) | (bread & meat) | (bread & toasted) | (bun & meat) | (meat & toasted),(bread | boodle | meat) & (bread | toasted | bun) & (boodle | toasted | bun | meat),0.508,0.5694,0.4586,554,973,1208,104229,291,3557,0.9972158439
grey,34663,attr,F1,(along & black) | (along & have) | (be & white) | (black & have) | (black & white) | (have & white),(white & have) | (white & black) | (white & be) | (have & along) | (have & black) | (along & black),0.5078,0.3504,0.9219,31956,91206,34663,3374,147,104556,0.958250497
sign,17073,obj,F1,(building & car) | (building & pole) | (building & red) | (building & street) | (car & pole) | (car & street) | (pole & red) | (pole & street) | (red & street),(pole | building | street) & (car | pole | red | building) & (car | pole | red | street) & (car | red | building | street),0.5069,0.4354,0.6065,10354,23781,17073,43481,2031,62565,0.9553744067
sheep,1324,obj,F1,(goat) | (herd) | (lamb) | (wool),herd | lamb | wool | goat,0.5065,0.5274,0.4872,645,1223,1324,106175,679,1223,0.993645535
fireplug,887,obj,F1,waterfaucet,waterfaucet,0.4992,0.4562,0.5513,489,1072,887,106607,398,1072,0.9962805476
waterfaucet,1072,obj,F1,fireplug,fireplug,0.4992,0.5513,0.4562,489,887,1072,106607,583,887,0.9945610598
motorcycle,2718,obj,F1,(bicycle & headlight) | (bicycle & helmet) | (bicycle & minibike) | (headlight & helmet) | (headlight & minibike) | (helmet & minibike) | (helmet & tire) | (minibike & tire),(headlight | minibike | helmet) & (minibike | helmet | bicycle) & (tire | headlight | minibike | bicycle) & (tire | headlight | helmet | bicycle),0.4982,0.5825,0.4352,1183,2031,2718,92461,480,15136,0.9948354332
doughnut,738,obj,F1,(cocoa & glassy) | (cocoa & ring) | (cocoa & scattering) | (frosting & glassy) | (frosting & ring) | (frosting & scattering) | (glassy & ring) | (glassy & scattering) | (ring & scattering),(ring | glassy | scattering) & (frosting | ring | cocoa | glassy) & (frosting | ring | cocoa | scattering) & (frosting | cocoa | glassy | scattering),0.498,0.6202,0.416,307,495,738,104583,182,3312,0.9982627786
engine,2392,obj,F1,(airplane & track) | (airplane & wing) | (cockpit & track) | (cockpit & wing) | (jet & wing) | (track & wing),(track | wing) & (cockpit | airplane | wing) & (track | cockpit | jet | airplane),0.4952,0.4846,0.5063,1211,2499,2392,102463,1024,4590,0.9901050373
cabinet,2898,obj,F1,(counter & drawer) | (counter & kitchen) | (counter & sink) | (counter & stove) | (drawer & kitchen) | (drawer & sink) | (drawer & stove) | (kitchen & sink) | (kitchen & stove) | (sink & stove),(stove & drawer) | (stove & sink) | (stove & kitchen) | (stove & counter) | (drawer & sink) | (drawer & kitchen) | (drawer & counter) | (sink & kitchen) | (sink & counter) | (kitchen & counter),0.4951,0.5235,0.4696,1361,2600,2898,100256,829,6992,0.9917989811
